i,v
bitcoin/bitcoin,0.03333333333333333
bitcoin/bips,0.03333333333333333
lightningnetwork/lnd,0.03333333333333333
lightningnetwork/lightning-onion,0.03333333333333333
elementsproject/elements,0.03333333333333333
elementsproject/lightning,0.03333333333333333
elementsproject/libwally-core,0.03333333333333333
lightningdevkit/rust-lightning,0.03333333333333333
lightningdevkit/ldk-node,0.03333333333333333
bitcoinj/bitcoinj,0.03333333333333333
bitcoinj/secp256k1-jdk,0.03333333333333333
bitcoin-core/hwi,0.03333333333333333
bitcoin-core/secp256k1,0.03333333333333333
btcsuite/btcd,0.03333333333333333
btcsuite/btcwallet,0.03333333333333333
acinq/phoenix,0.03333333333333333
acinq/eclair,0.03333333333333333
jamaljsr/polar,0.03333333333333333
coinspace/coinspace,0.03333333333333333
proto-at-block/bitkey,0.03333333333333333
breez/breezmobile,0.03333333333333333
breez/breez-sdk-greenlight,0.03333333333333333
horizontalsystems/bitcoin-kit-android,0.03333333333333333
spesmilo/electrum,0.03333333333333333
rust-bitcoin/rust-bitcoin,0.03333333333333333
rust-bitcoin/rust-secp256k1,0.03333333333333333
rust-bitcoin/rust-miniscript,0.03333333333333333
breez/breez-sdk,0.011111111111111112
skyjam/coinspace,0.011111111111111112
conformal/btcwallet,0.011111111111111112
conformal/btcd,0.011111111111111112
bitcoin/secp256k1,0.011111111111111112
achow101/hwi,0.011111111111111112
lightningdevkit/ldk-lite,0.011111111111111112
rust-bitcoin/rust-lightning,0.011111111111111112
thebluematt/rust-lightning,0.011111111111111112
