i,v
ethereum/go-ethereum,0.038461538461538464
ethereum-optimism/optimism,0.038461538461538464
op-rs/kona,0.038461538461538464
OffchainLabs/nitro,0.038461538461538464
OffchainLabs/prysm,0.038461538461538464
paradigmxyz/reth,0.038461538461538464
erigontech/erigon,0.038461538461538464
ChainSafe/lodestar,0.038461538461538464
NethermindEth/nethermind,0.038461538461538464
bluealloy/revm,0.038461538461538464
argotorg/solidity,0.038461538461538464
OpenZeppelin/openzeppelin-contracts,0.038461538461538464
foundry-rs/foundry,0.038461538461538464
Uniswap/v3-core,0.038461538461538464
Uniswap/v4-core,0.038461538461538464
Uniswap/interface,0.038461538461538464
aave/aave-v3-core,0.038461538461538464
smartcontractkit/chainlink,0.038461538461538464
NomicFoundation/hardhat,0.038461538461538464
MetaMask/metamask-extension,0.038461538461538464
Consensys/linea-monorepo,0.038461538461538464
Consensys/teku,0.038461538461538464
succinctlabs/sp1,0.038461538461538464
risc0/risc0,0.038461538461538464
scroll-tech/scroll,0.038461538461538464
taikoxyz/taiko-mono,0.038461538461538464
