i,v
Layr-Labs/eigenda,0.08333333333333333
Layr-Labs/eigenlayer-contracts,0.08333333333333333
Layr-Labs/eigenlayer-middleware,0.08333333333333333
Layr-Labs/eigensdk-go,0.08333333333333333
Layr-Labs/eigenda-proxy,0.08333333333333333
Layr-Labs/incredible-squaring-avs,0.08333333333333333
yetanotherco/aligned_layer,0.03571428571428571
hyperlane-xyz/hyperlane-monorepo,0.03571428571428571
EspressoSystems/HotShot,0.03571428571428571
omni-network/omni,0.03571428571428571
hyperlane-xyz/hyperlane-registry,0.03571428571428571
EspressoSystems/espresso-network,0.03571428571428571
EspressoSystems/nitro-espresso-integration,0.03571428571428571
gasp-xyz/gasp-monorepo,0.03571428571428571
Lagrange-Labs/deep-prove,0.03571428571428571
etherfi-protocol/smart-contracts,0.03571428571428571
Lagrange-Labs/mapreduce-plonky2,0.03571428571428571
FhenixProtocol/fheos,0.03571428571428571
Lagrange-Labs/lgn-coprocessor,0.03571428571428571
EspressoSystems/jellyfish,0.03571428571428571
