i,v
ethereum/go-ethereum,0.05454545454545454
ethereum-optimism/optimism,0.05454545454545454
op-rs/kona,0.05454545454545454
offchainlabs/nitro,0.05454545454545454
offchainlabs/prysm,0.05454545454545454
paradigmxyz/reth,0.05454545454545454
erigontech/erigon,0.05454545454545454
chainsafe/lodestar,0.05454545454545454
nethermindeth/nethermind,0.05454545454545454
bluealloy/revm,0.05454545454545454
ethereum/solidity,0.05454545454545454
openzeppelin/openzeppelin-contracts,0.013333333333333334
foundry-rs/foundry,0.013333333333333334
uniswap/v3-core,0.013333333333333334
uniswap/v4-core,0.013333333333333334
uniswap/interface,0.013333333333333334
aave/aave-v3-core,0.013333333333333334
smartcontractkit/chainlink,0.013333333333333334
nomicfoundation/hardhat,0.013333333333333334
metamask/metamask-extension,0.013333333333333334
consensys/linea-monorepo,0.013333333333333334
consensys/teku,0.013333333333333334
succinctlabs/sp1,0.013333333333333334
risc0/risc0,0.013333333333333334
scroll-tech/scroll,0.013333333333333334
taikoxyz/taiko-mono,0.013333333333333334
taikochain/taiko-mono,0.009090909090909092
pegasyseng/artemis,0.009090909090909092
pegasyseng/beaconchain,0.009090909090909092
pegasyseng/teku,0.009090909090909092
oraclekit/chainlink,0.009090909090909092
oraclekit/smart_oracle,0.009090909090909092
uniswap/uniswap-interface,0.009090909090909092
uniswap/uniswap-v3-core,0.009090909090909092
gakonst/dapptools-rs,0.009090909090909092
gakonst/foundry,0.009090909090909092
openzep/zep,0.009090909090909092
openzep/zep-solidity,0.009090909090909092
openzeppelin/openzeppelin-solidity,0.009090909090909092
openzeppelin/zep-solidity,0.009090909090909092
openzeppelin/zeppelin-solidity,0.009090909090909092
argotorg/solidity,0.009090909090909092
tkstanczak/nethermind,0.009090909090909092
ledgerwatch/erigon,0.009090909090909092
prysmaticlabs/geth-sharding,0.009090909090909092
prysmaticlabs/prysm,0.009090909090909092
anton-rs/kona,0.009090909090909092
ethereum-optimism/kon,0.009090909090909092
