i,v
ethereum/consensus-specs,0.02608695652173913
ethereum/eth2.0-specs,0.02608695652173913
ethereum/eips,0.02608695652173913
ethereum/evmone,0.02608695652173913
chfast/evmone,0.02608695652173913
ipsilon/evmone,0.02608695652173913
ethereum/execution-apis,0.02608695652173913
ethereum/execution-specs,0.02608695652173913
ethereum/go-ethereum,0.02608695652173913
ethereum/hive,0.02608695652173913
ethereum/protocol-security,0.02608695652173913
erigontech/erigon,0.02608695652173913
ledgerwatch/erigon,0.02608695652173913
paradigmxyz/reth,0.02608695652173913
bluealloy/revm,0.02608695652173913
ChainSafe/lodestar,0.02608695652173913
Consensys/teku,0.02608695652173913
ethereumjs/ethereumjs-monorepo,0.02608695652173913
ethpandaops/ethereum-package,0.02608695652173913
NethermindEth/nethermind,0.02608695652173913
OffchainLabs/prysm,0.02608695652173913
OffchainLabs/prysm,0.02608695652173913
OffchainLabs/prysm,0.02608695652173913
ethereum/pm,0.018181818181818184
ethereum/evmc,0.018181818181818184
ipsilon/evmc,0.018181818181818184
ethereum/c-kzg-4844,0.018181818181818184
ethereum/execution-spec-tests,0.018181818181818184
ethereum/portal-network-specs,0.018181818181818184
erigontech/silkworm,0.018181818181818184
paradigmxyz/revmc,0.018181818181818184
ethereumjs/ultralight,0.018181818181818184
grandinetech/grandine,0.018181818181818184
grandinetech/rust-kzg,0.018181818181818184
torquem-ch/silkworm,0.016666666666666666
ethereum/stateless-ethereum-specs,0.016666666666666666
ethereum/ethereumjs-vm,0.016666666666666666
ethereumjs/ethereumjs-monorepo,0.016666666666666666
ethereumjs/ethereumjs-vm,0.016666666666666666
PegaSysEng/artemis,0.016666666666666666
PegaSysEng/beaconchain,0.016666666666666666
PegaSysEng/teku,0.016666666666666666
karalabe/hive,0.016666666666666666
sifraitech/rust-kzg,0.016666666666666666
sifraitech/kzg,0.016666666666666666
protocolguild/documentation,0.016666666666666666
